Année;Code_INSEE;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;% gauche/Exp;% centre/Exp;% droite/Exp;Résultat
2022;01001;L'Abergement-Clémenciat;645;108;16.74;537;83.26;16;2.48;2.98;1;0.16;0.19;520;80.62;96.83;21.73;32.31;45.96;droite
2022;01002;L'Abergement-de-Varey;213;38;17.84;175;82.16;3;1.41;1.71;1;0.47;0.57;171;80.28;97.71;38.6;35.09;26.32;gauche
2022;01004;Ambérieu-en-Bugey;8765;2078;23.71;6687;76.29;88;1.0;1.32;46;0.52;0.69;6553;74.76;98.0;34.44;24.87;40.68;droite
2022;01005;Ambérieux-en-Dombes;1282;234;18.25;1048;81.75;14;1.09;1.34;6;0.47;0.57;1028;80.19;98.09;21.5;29.47;49.03;droite
2022;01006;Ambléon;103;23;22.33;80;77.67;3;2.91;3.75;0;0.0;0.0;77;74.76;96.25;32.47;29.87;37.66;droite
2022;01007;Ambronay;2031;338;16.64;1693;83.36;17;0.84;1.0;17;0.84;1.0;1659;81.68;97.99;26.52;27.91;45.57;droite
2022;01008;Ambutrix;554;80;14.44;474;85.56;10;1.81;2.11;1;0.18;0.21;463;83.57;97.68;24.62;27.21;48.16;droite
2022;01009;Andert-et-Condon;279;48;17.2;231;82.8;3;1.08;1.3;0;0.0;0.0;228;81.72;98.7;32.89;30.26;36.84;droite
2022;01010;Anglefort;792;168;21.21;624;78.79;10;1.26;1.6;6;0.76;0.96;608;76.77;97.44;21.38;26.81;51.81;droite
2022;01011;Apremont;287;44;15.33;243;84.67;7;2.44;2.88;0;0.0;0.0;236;82.23;97.12;25.42;27.12;47.46;droite
2022;01012;Aranc;283;62;21.91;221;78.09;1;0.35;0.45;0;0.0;0.0;220;77.74;99.55;38.18;27.27;34.55;gauche
2022;01013;Arandas;125;29;23.2;96;76.8;0;0.0;0.0;2;1.6;2.08;94;75.2;97.92;19.15;23.4;57.45;droite
2022;01014;Arbent;2257;656;29.07;1601;70.93;28;1.24;1.75;10;0.44;0.62;1563;69.25;97.63;33.46;27.64;38.9;droite
2022;01015;Arboys en Bugey;562;91;16.19;471;83.81;9;1.6;1.91;1;0.18;0.21;461;82.03;97.88;29.72;33.19;37.09;droite
2022;01016;Arbigny;325;58;17.85;267;82.15;3;0.92;1.12;1;0.31;0.37;263;80.92;98.5;23.19;27.0;49.81;droite
2022;01017;Argis;308;46;14.94;262;85.06;6;1.95;2.29;1;0.32;0.38;255;82.79;97.33;34.12;16.86;49.02;droite
2022;01019;Armix;40;8;20.0;32;80.0;0;0.0;0.0;0;0.0;0.0;32;80.0;100.0;43.75;18.75;37.5;gauche
2022;01021;Ars-sur-Formans;1073;170;15.84;903;84.16;19;1.77;2.1;5;0.47;0.55;879;81.92;97.34;20.93;28.9;50.17;droite
2022;01022;Artemare;872;189;21.67;683;78.33;9;1.03;1.32;0;0.0;0.0;674;77.29;98.68;22.4;25.96;51.63;droite
2022;01023;Asnières-sur-Saône;60;7;11.67;53;88.33;0;0.0;0.0;0;0.0;0.0;53;88.33;100.0;20.75;11.32;67.92;droite
2022;01024;Attignat;2455;475;19.35;1980;80.65;42;1.71;2.12;8;0.33;0.4;1930;78.62;97.47;23.94;30.73;45.34;droite
2022;01025;Bâgé-Dommartin;3039;621;20.43;2418;79.57;55;1.81;2.27;17;0.56;0.7;2346;77.2;97.02;22.55;32.52;44.93;droite
2022;01026;Bâgé-le-Châtel;608;122;20.07;486;79.93;2;0.33;0.41;14;2.3;2.88;470;77.3;96.71;19.57;38.94;41.49;droite
2022;01027;Balan;1277;219;17.15;1058;82.85;21;1.64;1.98;5;0.39;0.47;1032;80.81;97.54;20.93;31.1;47.97;droite
2022;01028;Baneins;432;78;18.06;354;81.94;5;1.16;1.41;1;0.23;0.28;348;80.56;98.31;20.11;24.71;55.17;droite
2022;01029;Beaupont;444;74;16.67;370;83.33;8;1.8;2.16;1;0.23;0.27;361;81.31;97.57;19.39;26.59;54.02;droite
2022;01030;Beauregard;568;135;23.77;433;76.23;2;0.35;0.46;4;0.7;0.92;427;75.18;98.61;26.93;26.46;46.6;droite
2022;01031;Bellignat;1857;540;29.08;1317;70.92;17;0.92;1.29;8;0.43;0.61;1292;69.57;98.1;30.03;28.02;41.95;droite
2022;01032;Béligneux;2021;445;22.02;1576;77.98;13;0.64;0.82;5;0.25;0.32;1558;77.09;98.86;26.7;26.57;46.73;droite
2022;01033;Valserhône;9514;2917;30.66;6597;69.34;116;1.22;1.76;32;0.34;0.49;6449;67.78;97.76;36.78;24.69;38.53;droite
2022;01034;Belley;5938;1597;26.89;4341;73.11;72;1.21;1.66;28;0.47;0.65;4241;71.42;97.7;31.86;27.89;40.25;droite
2022;01035;Belleydoux;273;50;18.32;223;81.68;5;1.83;2.24;2;0.73;0.9;216;79.12;96.86;32.87;26.85;40.28;droite
2022;01036;Valromey-sur-Seran;1103;212;19.22;891;80.78;8;0.73;0.9;12;1.09;1.35;871;78.97;97.76;31.92;29.62;38.46;droite
2022;01037;Bénonces;245;59;24.08;186;75.92;3;1.22;1.61;4;1.63;2.15;179;73.06;96.24;26.26;23.46;50.28;droite
2022;01038;Bény;594;92;15.49;502;84.51;3;0.51;0.6;1;0.17;0.2;498;83.84;99.2;23.29;32.33;44.38;droite
2022;01039;Béon;356;89;25.0;267;75.0;1;0.28;0.37;1;0.28;0.37;265;74.44;99.25;28.3;29.43;42.26;droite
